Nucleus Area,Nucleus Perimeter,Nucleus Roundness,Cell Area,Label
1659,400,7.674741077366864,141058,inter
4507,1319,30.717945745340465,60028,inter
1115,335,8.009490353582043,110091,inter
5035,2321,85.14143036630655,87423,inter
2863,1772,87.2762792227492,37417,inter
1947,612,15.30830226127654,114438,inter
5565,1906,51.948230623736634,153954,inter
4888,1560,39.61942200372714,140372,inter
1741,384,6.739905596943859,68965,inter
1380,344,6.823825849899466,95623,inter
4111,1063,21.87304206891339,88753,inter
2303,772,20.5935300919844,166986,inter
924,280,6.752027888747075,142487,inter
2829,931,24.381282719914157,76341,inter
1075,304,6.841145684084,86817,inter
2901,753,15.553651349119697,93961,inter
954,288,6.918735639315601,80267,inter
1656,409,8.038525976858498,90657,inter
71898,7296,58.917319085159704,111127,inter
1680,382,6.912061284446945,50891,inter
1661,542,14.074049579303896,86778,inter
11049,4043,117.72661179218547,98325,inter
31296,4578,53.29087848822793,89280,let
58678,4218,24.12837000015415,108630,inter
21022,4437,74.52379485412682,71979,let
3556,808,14.610029916584246,133280,let
26996,8078,192.3527564367639,116140,let
47510,12224,250.2832512915127,134133,let
72485,19958,437.2965281208758,112681,let
31198,11179,318.76401954527256,121342,let
52882,9317,130.6274518437487,122644,let
35944,8354,154.50860528046823,123732,let
15268,5626,164.97093671508148,93089,let
97375,7707,48.54152132157121,100944,let
8686,2661,64.87241416032735,55354,let
35555,6820,104.10179123987446,60091,let
18243,5462,130.13594480225967,80430,let
24391,9578,299.302397162468,112424,let
53411,13019,252.5309896777084,152515,let
99707,13266,140.4573507181405,221201,let
32019,11334,319.2631457070824,122124,let
61455,15695,318.97419718110353,72155,let
18559,7380,233.53301585576338,67001,let
16447,5903,168.59667679238822,63377,let
53288,13166,258.86206829423855,152929,let
53076,13541,274.91182869809325,62929,let
6081,1047,14.345262375581607,27581,let
21183,6750,171.16312832517775,50059,let
46545,6467,71.50276286152307,127517,let
7256,3379,125.2187157937356,37922,let
34602,11714,315.57266218101995,74549,let
12891,4152,106.4187656533731,71535,let
16414,5971,172.85018522052496,63251,let
25104,6456,132.12173044442798,86614,let
18259,6105,162.4368219193715,51735,let
21685,6155,139.02305379218214,76887,let
39120,10302,215.890921943946,116201,let
20,40,6.366197723675814,12537,let
29449,11513,358.1760917021464,84415,let
8238,3677,130.60373832111569,38861,let
36617,12383,333.2415315506573,88818,let
39061,9585,187.16774713398024,104556,let
27740,10682,327.33227319238756,86940,let
7566,2042,43.856631782093174,30162,let
4939,1212,23.667716007813436,20565,let
25743,7509,174.29911738699664,81488,let
31025,7924,161.05242910608953,56693,let
20950,5978,135.74315220344695,97630,let
22650,7567,201.1728634275057,142456,let
60993,19368,489.41772481583587,68590,let
31821,9832,241.7464204379905,74568,let
8686,2661,64.87241416032735,55356,let
72565,21137,489.9475961221216,118409,let
23707,7654,196.64841578630273,86575,let
16134,4898,118.32748801820932,39011,let
35563,12169,331.3611039386905,138416,let
52108,11661,207.66213857231452,112071,let
22963,4516,70.67557925971225,26618,let
39190,11903,287.69196971899146,115003,let
7698,2042,43.10460847795751,86164,let
51829,10688,175.39216812515102,108393,let
46294,10231,179.92917886975002,147614,let
21348,5628,118.07042306049372,139874,let
10596,2812,59.385281442433,64544,let
72214,16733,308.543467865702,128304,let
39430,11889,285.2686277566568,114974,let
35559,12169,331.3983784519152,138380,let
9957,2698,58.17622267622261,82794,let
71713,17848,353.4853013329552,176809,let
53818,13624,274.4554451519433,132460,let
33913,6730,106.2806139528633,78840,let
22816,7859,215.4195951457222,39340,let
91725,21720,409.28144619854777,129659,let
10920,3494,88.96379463570557,80610,let
20283,7479,219.45476332828156,39214,let
49784,16608,440.894844299416,121789,let
18925,4804,97.04211321350296,95141,let
22137,5096,93.35341497540628,72343,let
33715,10472,258.8369293610976,76863,let
61591,16489,351.2865456817901,96692,let
62329,14349,262.8713454501839,61770,let
27447,7295,154.292865985262,103355,let
74374,15674,262.8625286788568,77338,let
22139,5071,92.43136291071764,70156,let
28770,8517,200.6427947987756,84363,let
73988,14903,238.8780531987524,114308,let
74299,15701,264.03517912145054,77474,let
38315,7769,125.35785404061052,164865,let
27287,8057,189.31327665905405,99821,let
18895,4784,96.38857986884851,95115,let
57621,11342,177.6595798815237,98209,let
28476,6800,129.21977399510536,77622,let
4756,800,10.708490704248636,37454,let
49630,10639,181.4878177253897,144976,let
35279,10261,237.49432957294127,69183,let
81128,18893,350.1234630614956,134910,let
15067,3424,61.91998745941888,86209,let
43833,11250,229.77034979431028,119419,let
38186,7794,126.59214849179624,165133,let
38160,7783,126.32108022250387,165472,let
50081,10941,190.2090514999996,144933,let
92531,14067,170.17895605684268,114146,mod
11436,3406,80.7244837967126,54173,mod
32466,9634,227.49645606655696,99071,mod
103062,14054,152.5075935639736,79635,mod
7028,1174,15.606106882820514,25528,mod
33509,9250,203.1945868020576,81122,mod
81894,21437,446.54586043765,173808,mod
24019,6351,133.63476039292144,82025,mod
7046,1174,15.566238883403715,25548,mod
16080,4848,116.31328294785129,83540,mod
33628,12083,345.4925191845329,69788,mod
51803,11487,202.6975348252424,111896,mod
16397,7572,278.25754548647154,51442,let
46982,13545,310.7539475023875,137702,mod
41910,16263,502.19663589650827,70922,mod
19570,5429,119.85026361888579,132078,mod
38705,9774,196.41187138984017,76656,mod
40344,9106,163.55599701075053,52872,mod
34681,10771,266.20154775227144,50134,mod
80190,16037,255.22086773452492,91652,mod
15747,3461,60.53346123325311,41773,mod
30350,9549,239.08219105569148,60763,mod
16453,4865,114.47501984322538,150228,mod
43290,11150,228.53477029963224,103125,mod
16003,5941,175.51241235881,61972,mod
53842,18699,516.7800213038909,97998,mod
42284,11001,227.76049666566908,101187,mod
35299,12058,327.7768617134396,98170,mod
56679,9997,140.3160469044841,91229,mod
29117,6544,117.03886212609417,48415,mod
22401,8568,260.78442223696544,40758,mod
8447,1447,19.725349369024407,34244,mod
47417,14748,365.0247569585574,89431,mod
21059,4473,75.60494255171338,45248,mod
840,519,25.517937277485725,25684,mod
7597,2626,72.23329948326753,18297,mod
33993,15205,541.2195684725538,106232,mod
26900,6842,138.48540188444136,91762,mod
47579,14739,363.33803553190774,89799,mod
19684,5814,136.65541157128453,48896,mod
29032,6472,114.81277080157261,48077,mod
52639,16304,401.8563534750275,108333,mod
12383,4861,151.85024788238422,135881,mod
8485,1454,19.827460911589004,35135,mod
44598,10283,188.67502855875765,108327,mod
39869,11269,253.4694082893256,84602,mod
27321,7336,156.75167490689304,56266,mod
39139,12424,313.83638755698087,91624,mod
28841,11751,381.00394630807534,96071,mod
76208,14375,215.77706351268034,112888,mod
31405,5722,82.96349612761635,103376,mod
67587,11840,165.05564080594792,105164,mod
43756,15110,415.223046927177,97786,mod
26361,6376,122.72269154761625,99703,mod
27470,7213,150.71738173309137,43506,mod
22192,6162,136.15609280383427,99155,mod
59368,12699,216.160712798917,131636,mod
21970,6307,144.08067719367872,53834,mod
24983,7321,170.72077032880324,54259,mod
17928,4951,108.80382045405841,136534,mod
35080,8613,168.2826900447165,75932,mod
10511,3404,87.72536880760627,64965,mod
33203,8203,161.27172588461363,89398,mod
56027,12496,221.78634328340397,123201,mod
82016,18991,349.93486854508376,141914,mod
53817,13621,274.33968602022554,132370,mod
33212,8203,161.2280234417327,89386,mod
25650,6838,145.06443787323502,137274,mod
57425,11945,197.72493447152357,78704,mod
47097,12242,253.22212099282217,154082,mod
34660,8420,162.77427160156157,54115,mod
22181,6102,133.58368535414635,125843,mod
60437,11816,183.83500112755794,131237,mod
86624,21184,412.2568090453762,114160,mod
22263,6374,145.22138284877556,72185,mod
25848,9277,264.9587731416011,146798,mod
51772,10685,175.4867158668855,108881,mod
43274,12782,300.44205348016067,90120,mod
33189,8192,160.90734024649348,89473,mod
28799,7278,146.3648630271614,131413,mod
124379,12964,107.52788903513674,127330,mod
33213,7468,133.62590176883643,116132,mod
16453,4921,117.125583731071,86671,mod
58214,15262,318.4091892009856,182587,mod
28553,9673,260.771884920646,98452,mod
102316,17259,231.67428972576397,142732,mod
99002,7540,45.69712310197369,79774,mod
69038,13634,214.26365732468034,102964,mod
69018,13641,214.5458822790604,102976,mod
33733,9323,205.04375100995517,103511,mod
31086,10836,300.58221885725374,83121,mod
85541,11628,125.7841325852709,110733,mod
54161,14763,320.22313218267396,157784,mod
82394,11810,134.70829646685138,84872,mod
95304,16528,228.097022169378,139529,para
18799,4182,74.03267553984523,57345,mod
95507,16590,229.32304748756886,139359,para
41761,10803,222.38628427175493,121175,mod
51954,11608,206.388713918078,111857,mod
95448,16547,228.27683213253988,139390,para
84104,11539,125.98238658402117,87996,mod
69005,13950,224.4181567498048,139967,para
95457,16574,229.00081272335862,139383,para
96334,16646,228.89184669666062,140701,para
68928,13946,224.54003211953489,140030,para
68919,13942,224.44055061491613,140046,para
95346,16526,227.94137030752674,139500,para
95345,16531,228.08171226310677,139497,para
95335,16521,227.8297467858661,139500,para
95441,16605,229.89679392414953,139395,para
64294,11339,159.1362796288437,124353,para
68927,13933,224.12486122499624,140033,para
64861,11435,160.4275066188876,123930,para
9599,2058,35.11194480641016,85272,para
27952,5734,93.60361584345151,42485,para
10733,2977,65.7092750696577,27897,para
62888,6513,53.67653946858296,82462,para
17627,3759,63.790555325321144,24726,para
11653,2904,57.58980573936588,83684,para
8961,1185,12.470112150609124,142125,para
27228,8271,199.93574058512144,126138,para
17627,3748,63.41775967842435,24700,para
47097,13342,300.77294238770247,129046,para
20063,5250,109.3233344706765,74092,para
69134,17343,346.21581218933704,97997,para
20109,4822,92.01403460666202,18913,para
36972,10188,223.4061190566334,97129,para
27754,9455,256.3230241849777,64339,para
22836,6778,160.09332721555006,158016,para
34456,10359,247.83403251697771,91331,para
29184,9383,240.06494736098986,37823,para
33501,9442,211.76801086512114,46474,para
37654,13130,364.34135561585987,116292,para
121205,14484,137.7357354694187,53531,para
39391,13603,373.8199937806574,89177,para
44652,7786,108.03836885815294,74801,para
9304,3295,92.86055438640827,18388,para
55941,15438,339.033008605553,186142,para
120619,14517,139.03628851090565,53185,para
44670,7789,108.07807261276535,74771,para
10129,4186,137.6645162011192,44738,para
72524,18425,372.4975149790143,185627,para
509,208,6.763928740597014,74706,super
4345,1834,61.602596520874926,81296,super
1973,1028,42.62351682220616,46260,super
26008,5486,92.0862496474648,51920,para
44663,7750,107.01524493940134,74749,para
72276,18356,370.981390595132,185880,para
2195,1079,42.20836220962445,67432,super
72564,18396,371.12116526134207,185599,para
1321,1067,68.58294928302378,56907,super
1125,574,23.30565956895347,50752,super
41602,5495,57.75789007179171,90996,super
1629,701,24.005186675966993,95194,super
5197,1947,58.045602334735875,92745,super
8855,4270,163.8541028740948,85952,super
5950,2681,96.13173890026425,90293,super
7685,2921,88.35057454790736,69506,super
37263,10135,219.36120621495184,96822,para
1571,854,36.942790094210295,36278,super
5038,1976,61.674530674670535,50098,super
541,212,6.610960963329154,83690,super
24129,2810,26.04134746877025,53023,super
1954,1028,43.037972717611446,72777,super
593,321,13.827558592860024,44951,super
11733,4096,113.78917828860632,89424,super
632,228,6.545498862095797,86903,super
6690,2732,88.78209895126479,122580,super
2497,1531,74.70023619636005,50228,super
1046,384,11.218141151318605,162818,super
473,263,11.636985474337536,68589,super
2129,1277,60.95316608579225,26718,super
1017,365,10.424492277983164,101034,super
3893,1047,22.407793605423002,114750,super
2014,756,22.582616572733244,95525,super
467,196,6.546141642203696,87192,super
1322,475,13.581442524625146,91773,super
774,268,7.384460356997604,71063,super
690,240,6.642988929053023,64780,super
1255,746,35.287757892322404,101790,super
2383,842,23.675015752035772,161061,super
660,232,6.489663376498618,61197,super
589,220,6.539133485269724,53466,super
2069,1025,40.40893235522536,78005,super
592,220,6.5059959844997755,60561,super
656,236,6.756321425644972,77716,super
749,252,6.746979643596609,95040,super
623,228,6.640056630569091,89698,super
27354,4131,49.64547648989237,19808,para
32973,4969,59.58948977707833,36016,super
2059,1022,40.36784642554522,73223,super
55382,6075,53.02907665528358,67664,svar
628,228,6.587189937650548,98838,super
78185,16302,270.48829295258065,127231,svar
7248,3590,141.50143640056956,71510,super
1690,575,15.568225757324822,87348,super
46398,10429,186.5418202918183,64428,svar
80867,16086,254.6331442051344,114677,svar
63120,16982,363.58069783418154,116611,svar
53317,15650,365.55532521920526,100185,svar
34446,4619,49.28868859680986,77878,svar
15323,4881,123.72684814224215,101582,svar
24913,3967,50.26764147688139,85091,svar
62762,13087,217.156866476279,64058,svar
31531,5774,84.14066701843224,103508,svar
94954,7849,51.63040476035091,59293,svar
48812,11983,234.09635524287052,101806,svar
15024,5246,145.76764369806958,111582,svar
18247,2130,19.785993898000218,38407,svar
16425,5397,141.12033341850773,83995,svar
7487,1597,27.10766657246278,40362,svar
31848,3602,32.41868453703936,139245,svar
57912,11506,181.91575438275135,58381,svar
53017,10107,153.3273106017848,48888,svar
29736,11219,336.83396993815103,69427,svar
18794,6284,167.20269230752984,66950,svar
8576,2493,57.66999591349936,45685,svar
35661,7526,126.39358915154486,46084,svar
67808,15716,289.863306024334,101365,svar
11829,2779,51.954024848370786,56852,svar
15,35,6.49882684291906,90757,svar
39744,6076,73.91866116092164,119385,svar
79094,15882,253.77975851415925,67717,svar
20522,4553,80.38328553992933,59126,svar
23447,5679,109.45776847804375,73155,svar
71127,11116,138.2460466335154,100850,svar
9525,3291,90.48590121792505,26040,svar
40879,10356,208.77281935555573,75856,svar
45127,7573,101.13223068558153,35035,svar
69175,11374,148.82209571882453,99972,svar
12304,2238,32.3939552498197,65086,svar
29997,5944,93.72812180304722,52892,svar
54856,9786,138.92372586891187,70046,svar
27869,6129,107.26251929783054,110162,svar
99184,15773,199.6076233060184,103499,svar
15298,3933,80.4643249611913,108083,svar
58359,11689,186.31036288529458,75102,svar
37561,12049,307.5778087554559,140146,svar
41928,14929,423.0068744867253,123655,svar
36412,9318,189.75403258770126,86439,svar
115732,10119,70.40635635302841,42612,svar
38690,9427,182.78410241233954,89414,svar
63373,12263,188.83362310674653,122485,svar
53945,8457,105.50464966613255,63822,svar
50414,7966,100.1658274680994,41783,svar
107849,14934,164.56076870108487,103819,svar
145136,14126,109.40908606106073,93952,svar
79882,9758,94.85556905630801,89254,svar
85509,13362,166.15799510737915,99255,svar
25565,6095,115.63565342840599,85673,svar
85507,13366,166.26137965634163,99210,svar
35837,8080,144.97102543006832,117108,svar
78981,16313,268.12368539366054,132154,svar
85512,13365,166.22678226310822,99043,svar
35410,7987,143.3611836614455,113285,svar
32584,8516,177.11569369285334,96408,svar
79057,18131,330.8973748774547,150070,svar
43091,10756,213.65110844832984,101492,svar
91519,17806,275.68402951659493,124663,svar
78993,16315,268.1486929672237,132123,svar
102089,13535,142.79983526396114,115339,svar
31774,9942,247.55161409377945,131644,svar
31531,10642,285.82413682493416,133516,svar
43346,10034,184.8371666775047,65505,svar
47974,7519,93.77873600945054,56297,svar
123814,6572,27.75974619829575,54167,svar
48021,7536,94.1110710209594,56431,svar
113206,5314,19.850149900955003,43511,svar
48095,7538,94.01615226342986,56468,svar
48002,7520,93.74896560376567,56208,svar
195492,12255,61.13469888059327,73792,svar
48119,7542,94.06901548646711,56469,svar
91927,10305,91.92699016954333,79018,svar
25635,4742,69.80393629319802,66644,svar
56618,14810,308.28026876168593,107266,svar
70093,13986,222.07646485874702,150305,svar
25354,5054,80.17041378837783,43437,svar
47969,7514,93.66381706244925,56499,svar
70051,13832,217.3430499409076,150271,svar
40412,5592,61.57637481907802,119156,svar
69975,13827,217.42183386899708,150337,svar
138088,7858,35.58428512053553,68363,svar
19846,3141,39.5597029403006,33428,svar
70707,10701,128.8773071232566,104005,svar
87279,6231,35.3993980251681,65852,svar
80965,14133,196.31863858379583,80013,svar
78992,16314,268.119216759176,132086,svar
94838,12049,121.81752119048988,84645,svar
39309,9239,172.8017253698798,56301,svar
19788,3127,39.32276037346401,33375,svar
84523,25972,635.0764685970378,85971,svar
83971,18775,334.05709656746103,154212,svar
